INT	INT	INT	STRING
INT	INT	INT	STRING
1	1	0	#YLàm thª nào ð¬ tài khoän an toàn h½n
2	1	0	#YGi¾i thi®u chÑc nång m§t kh¦u tài khoän
3	1	0	#YGi¾i thi®u chÑc nång bäo v® m§t kh¦u
4	1	0	#YCách thay ð±i m§t kh¦u
5	1	0	#YKiªn thÑc an toàn mÕng
6	1	0	#YCách l¤y lÕi tài khoän
7	2	2	#YM§t kh¦u ðång nh§p
8	2	2	#YM§t kh¦u c¤p cao
9	2	2	#YEmail ðång ký
10	2	2	#YBäo v® m§t kh¦u
11	3	7	#YM§t kh¦u ðång nh§p#r#r#WTác døng:M§t kh¦u ðßþc dùng ð¬ xác thñc danh tính khi ngß¶i dùng ðång nh§p.#rCách nâng cao mÑc ðµ an toàn:Ð¬ bäo ðäm an toàn tài khoän, không nên ð£t m§t kh¦u b¢ng các thông tin d­ ðoán nhß ngày sinh, s¯ ði®n thoÕi, s¯ di ðµng ho£c pinyin tên.M§t kh¦u nên là sñ kªt hþp cüa chæ hoa, chæ thß¶ng, s¯ và ký hi®u, ví dø wish94XW!.
12	3	8	#YM§t kh¦u c¤p cao#r#r#WTác døng:M§t kh¦u c¤p cao là phß½ng thÑc duy nh¤t ð¬ thay ð±i và l¤y lÕi m§t kh¦u ðång nh§p, ð°ng th¶i là phß½ng thÑc xác thñc duy nh¤t khi ðång ký bäo m§t.Nªu quên m§t kh¦u ðång nh§p, bÕn có th¬ dùng m§t kh¦u c¤p cao ð¬ l¤y lÕi.#rCách nâng cao mÑc ðµ an toàn:Ð¬ bäo ðäm an toàn tài khoän,M§t kh¦u c¤p caot¯t nh¤t không nên dùng các dãy s¯ thông døng nhß##,####,ði®n thoÕi##,pinyin tên##M§t kh¦u nên là sñ kªt hþp cüa chæ hoa, chæ thß¶ng và s¯,##J2me#
13	3	9	#YEmail ðång ký#r#r#WTác døng:Email ðång ký là phß½ng thÑc duy nh¤t ð¬ l¤y lÕi m§t kh¦u c¤p cao. Nªu quên m§t kh¦u c¤p cao, bÕn có th¬ dùng email này ð¬ thiªt l§p lÕi, v×a an toàn v×a thu§n ti®n.Ð°ng th¶i, khi phát hi®n tài khoän b¸ ðánh c¡p, email này có th¬ ðßþc dùng ð¬ khóa tài khoän nh¢m giäm thi¬u t±n th¤t cá nhân.#rCách thiªt l§p:BÕn có th¬ ði«n email thß¶ng sØ døng.Hãy ghi nh¾ email ðång ký ðã ði«n; khi dùng email ðång ký ð¬ l¤y lÕi m§t kh¦u c¤p cao, bÕn c¥n xác minh email này.Do mµt s¯ email mi­n phí có th¬ ch£n thß xác minh, chúng tôi khuyªn ngh¸ bÕn ðång ký#Wemail mi­n phí cüa Sohu ho£c sØ døng email trä phí làm email ðång ký.
14	3	10	#YBäo v® m§t kh¦u#r#r#WTác døng:#WThông tin bäo v® m§t kh¦u s¨ là thông tin xác thñc#Wcao nh¤t v« quy«n s· hæu tài khoän.#rÐ£c bi®t lßu ý:Sau khi thiªt l§p thông tin bäo v® m§t kh¦u, ngß¶i dùng không th¬ tñ sØa ho£c xem lÕi. Khuyªn ngh¸ ði«n thông tin trung thñc và bäo quän c¦n th§n. M÷i tranh ch¤p tài khoän do khai báo sai ho£c ð¬ lµ thông tin cá nhân s¨ do thành viên tñ ch¸u trách nhi®m.#rCách thiªt l§p:Ðång nh§p trung tâm quän lý tài khoän và ði«n thông tin bäo v® m§t kh¦u ð¬ kích hoÕt bäo v® m§t kh¦u.Ð¬ bäo ðäm an toàn tài khoän, khi ði«n thông tin bäo v® m§t kh¦u, hãy cung c¤p thông tin chính xác, hþp l® và bäo quän c¦n th§n.
15	2	2	#YCác v¤n ð« an toàn c¥n chú ý h¢ng ngày
16	3	15	#YCác v¤n ð« an toàn c¥n chú ý h¢ng ngày#r#r#WHoàn thi®n các thiªt l§p bäo m§t tài khoän và lßu giæ c¦n th§n; không tùy ti®n cung c¤p m§t kh¦u ho£c thông tin tài khoän khác cho ngß¶i khác;#rThß¶ng xuyên thay ð±i m§t kh¦u ðång nh§p; nªu nghi ng¶ m§t kh¦u có th¬ ðã b¸ lµ, hãy thay ð±i ngay;#rKhi ðång nh§p trên máy tính công cµng nhß quán net, không sØ døng chÑc nång tñ ðµng hoàn thành và ghi nh¾ m§t kh¦u cüa trình duy®t IE;#rKhông tùy ti®n cài ð£t ph¥n m«m không rõ ngu°n g¯c, ð£c bi®t là các loÕi ph¥n m«m## tràn lan trên mÕng; hãy ð« phòng Trojan;#rTrß¾c khi r¶i ði, ð×ng quên ðóng t¤t cä cØa s±.
17	2	3	#YKhóa t¤t cä b¢ng mµt l¥n nh¤n
18	3	17	#YKhóa t¤t cä b¢ng mµt l¥n nh¤n#r#r#WLþi ích cüa ngß¶i ch½i là trên hªt,Ð¬ bäo v® t¯t h½n quy«n lþi ngß¶i ch½i và thu§n ti®n khóa v§t ph¦m,ngày#########chÑc nång,thêm mµt nút khóa · góc trên bên trái bän ð° nhö#chï c¥n nh¤n nh©,v§t li®u, ðÕo cø trong hành trang cùng trang b¸, thú cßÞi và trân thú trên ngß¶i s¨ ðßþc khóa an toàn, giúp bäo ðäm t¯i ða##rSau khi m· khóa tÕm th¶i có th¬ thñc hi®n thao tác tß½ng Ñng; sau khi ðång xu¤t s¨ tñ ðµng khóa lÕi#Có th¬ m· khóa riêng t×ng v§t ph¦m ðã b¸ khóa##rSau khi khóa t¤t cä, trang b¸ trên ngß¶i, v§t ph¦m trong hành trang, v§t ph¦m và ti«n trong ngân hàng ð«u s¨ b¸ khóa#L¥n ð¥u sØ døng ho£c khi rút ti«n c¥n nh§p m§t kh¦u c¤p 2#
19	2	3	#YThiªt l§p khóa b¢ng m§t kh¦u c¤p 2
20	3	19	#YThiªt l§p khóa b¢ng m§t kh¦u c¤p 2#r#r#WGiao di®n m§t kh¦u c¤p 2 yêu c¥u ngß¶i ch½i nh§p m§t kh¦u c¤p 2, ð°ng th¶i s¨ hi®n hµp thoÕi: Vui lòng nh§p m§t kh¦u khóa cüa bÕn.Chú ý: M§t kh¦u t¯t nh¤t không nên gi¯ng m§t kh¦u ðång nh§p, không nên dùng ngày sinh ho£c các dãy s¯ ð½n giän.Ngoài ra: Hãy bäo quän c¦n th§n m§t kh¦u c¤p 2. Nªu quên m§t kh¦u c¤p 2, có th¬ yêu c¥u m· khóa cßÞng chª; sau 360 gi¶ k¬ t× l¥n yêu c¥u m· khóa cßÞng chª m¾i có th¬ yêu c¥u hüy m§t kh¦u c¤p 2.#rVi®c xác nh§n m§t kh¦u c¤p 2 sØ døng c½ chª thiªt l§p hi®n có, tÑc là ð¯i chiªu và xác nh§n hai l¥n nh§p m§t kh¦u c¤p 2.Sau khi ngß¶i ch½i nh§p ðúng m§t kh¦u c¤p 2, toàn bµ trang b¸ và v§t ph¦m trên ngß¶i, ti«n và v§t ph¦m trong kho s¨ ðßþc khóa thành công.
21	2	3	#YNút ch¯ng trµm tài khoän
