INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	STRING	STRING	STRING
0	0	4	10	0	TÕi ÐÕi Lý gì ðó cØa thành phân bi®t Hæu Y Sinh có th¬ C¤p C¤p 10 dß¾i Ðích tân thü mi­n phí Tr¸ Li®u.		
1	1	6	10	0	ÐÕi Lý Ðích(160&125) XØ&có th¬ lînh nhi®m vø ð±i l¤y trang b¸		
2	2	10	11	25	Thông qua ÐÕi Lý(241&136) XØ Ðích D¸ch TrÕm Lão Bän&(Dã có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° Träo'D¸ch'Ðích chæ) có th¬ truy«n t¯ng Chí các môn phái&sau ðó Träo t×ng môn phái Ðích chß·ng môn có th¬ bái sß.		
3	3	13	30	26	Ðáo LÕc Dß½ng Ðích(173&61) Träo PhÕm Thu¥n Nhân&(Dã có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° Träo'Bang'Ðích chæ) TÕi b¡n ra Ðích bang phái Li®t Bi¬u giæa có th¬ lña ch÷n mµt bang phái gia nh§p.		
4	4	10	15	15	Ðáo LÕc Dß½ng Ðích(207&184) XØ Träo Khß½ng Ngß có th¬ H÷c T§p câu cá kÛ nång&(Dã có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° Träo'Ngß'Ðích chæ) nh¾ rõ KhÑ câu cá phía trß¾c Mãi Thßþng c¥n câu Nga.		
5	5	20	25	16	Ðªn l¾n Lý Ðích(43&130) XØ Träo Âu Dß½ng ÐÕi Thúc có th¬ H÷c T§p gieo tr°ng&(Dã có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° Träo'Nông'Ðích chæ) nh¾ rõ mu¯n t¾i ð¤t vß¶n bên trong Ði¬m Kích ÐÕo Thäo Nhân lÕi v×a gieo tr°ng.		
6	6	30	35	17	H÷c T§p dßÞng sinh có th¬ r½i ch§m lÕi n¤u nß¾ng Th¶i S· yêu c¥u Ðích sÑc s¯ng&Träo LÕc Dß½ng(132&154) XØ Ðích Tß¶ng Vi có th¬ H÷c T§p.		
7	7	30	35	4	Träo(128&86) Ðích Huy«n Ðµ có th¬ H÷c T§p Thiªu Lâm ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Huy«n Minh có th¬ H÷c T§p phø trþ kÛ nång.		
8	8	30	35	5	Träo(87&61) Ðích Thù ÐÕo Nhân có th¬ H÷c T§p Minh Giáo ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Phß½ng Thiên Ð¸nh có th¬ H÷c T§p phø trþ kÛ nång.		
9	9	30	35	6	Träo(114&91) Ðích Ngô Trß¶ng Phong có th¬ H÷c T§p Cái Bang ðµc hæu chính là cuµc s¯ng kÛ nång&tìm t¾i quan chÑc Vû có th¬ H÷c T§p phø trþ kÛ nång.		
10	10	30	35	7	Träo(44&56) Ðích HÕc Vân ÐÕo Nhân có th¬ H÷c T§p Võ Ðang ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Ninh Hß Tän Nhân có th¬ H÷c T§p phø trþ kÛ nång.		
11	11	30	35	8	Träo(43&108) Ðích Hàn Ánh Tuyªt có th¬ H÷c T§p Nga Mi ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Hµ Tam Nß½ng có th¬ H÷c T§p phø trþ kÛ nång.		
12	12	30	35	10	Träo(35&86) Ðích B±n Tßþng có th¬ H÷c T§p Thiên Long ðµc hæu chính là cuµc s¯ng kÛ nång&Träo B±n Tham có th¬ H÷c T§p phø trþ kÛ nång.		
13	13	30	35	9	Träo(101&87) Ðích Trích Tinh TØ có th¬ H÷c T§p Tinh Túc ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Sß H¯ng TØ có th¬ H÷c T§p phø trþ kÛ nång.		
14	14	30	35	11	Träo(119&67) Ðích Dß Bà có th¬ H÷c T§p Thiên S½n ðµc hæu chính là cuµc s¯ng kÛ nång&Träo ThÕch T¦u có th¬ H÷c T§p phø trþ kÛ nång.		
15	15	30	35	12	Träo(62&68) Ðích Phùng A Tam có th¬ H÷c T§p tiêu dao ðµc hæu chính là cuµc s¯ng kÛ nång&Träo ThÕch Thanh Lµ có th¬ H÷c T§p phø trþ kÛ nång.		
16	16	10	30	4	Träo(96&89) Ðích Tu® Phß½ng&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
17	17	10	30	5	Träo(98&105) Ðích Lâm Nham&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
18	18	10	30	6	Träo(92&70) Ðích H°ng Thông&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
19	19	10	30	7	Träo(78&92) Ðích Trß½ng Trung Hành&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
20	20	10	30	8	Träo(95&86) Ðích MÕnh Long&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
21	21	10	30	10	Träo(95&88) Ðích B±n Phàm&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
22	22	10	30	9	Träo(96&92) Ðích Vß½ng NgÕn&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
23	23	10	30	11	Träo(95&60) Ðích Phù Mçn Nghi&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
