INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1020000	495	17	0	1	0	240	175	Vô lßþng Ng÷c Bích	#{MIS_TAR_ADD_183}	#{Mis_E_Wuliang_1020000}	  #{WLS_20080311_01}	  #{WLS_20080311_02}	1	  #{WLS_20080311_11}	#{MI_ENT9525_1}	6	Tân Song Thanh	0	6	Tân Song Thanh	0	3	-1	-1	-1	1	6	611	73	611	74	611	0	133	1460	10410060	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1020060	621	39	0	1	0	150	49	H° Ði®p Th¥n Tª Ðàn	#{MIS_TAR_ADD_187}	#{Mis_E_Nanzhao_1020060}	  #{WLS_20080311_05}	  #{WLS_20080311_06}	0		#{MI_ENT9525_3}	28	A Vßþng	0	28	A Vßþng	0	84	-1	-1	-1	1	28	2811	0	0	0	0	66000	0	56000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000161	6	-1	-1
1020070	604	37	0	1	0	182	163	L¶i kêu g÷i lß½ng thi®n	#{MIS_TAR_ADD_185}	#{Mis_E_Shilin_1020070}	  #{WLS_20080311_03}	  #{WLS_20080311_04}	0		#{MI_ENT9525_2}	26	Tr¸nh Huy«n	0	26	Tr¸nh Huy«n	0	55	602	-1	-1	1	26	2611	0	0	0	0	0	21800	7800	0	0	0	0	0	0	0	0	0	0	10410070	1	10412070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1020100	260	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- BÕch viên thÕch tr§n	#{MIS_TAR_ADD_189}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_4}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	250	-1	-1	1	6	612	73	612	74	612	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020101	3	-1	-1
1020101	261	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Kiªm môn ði®p thuý	#{MIS_TAR_ADD_190}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_5}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	260	-1	-1	1	7	711	75	711	76	711	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020102	3	-1	-1
1020102	262	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Hãn häi c¥u ph§t	#{MIS_TAR_ADD_191}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_6}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	261	-1	-1	1	8	811	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020103	3	-1	-1
1020103	263	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Ng÷c ðai lâm phong	#{MIS_TAR_ADD_192}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_7}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	262	-1	-1	1	5	511	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020104	3	-1	-1
1020104	264	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Vû tÕ ca ðài	#{MIS_TAR_ADD_193}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_8}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	263	-1	-1	1	4	411	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020105	3	-1	-1
1020105	265	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Giang s½n ða ki«u	#{MIS_TAR_ADD_194}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_9}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	264	-1	-1	1	3	311	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020106	3	-1	-1
1020106	266	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Nh¤t v÷ng h± bào	#{MIS_TAR_ADD_195}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_10}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	265	-1	-1	1	30	3011	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020107	3	-1	-1
1020107	267	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Bách khä tranh lßu	#{MIS_TAR_ADD_196}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_11}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	266	-1	-1	1	24	2411	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020108	3	-1	-1
1020108	268	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phong ki«u t¸ch chiªu	#{MIS_TAR_ADD_197}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_12}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	267	-1	-1	1	18	1811	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020109	3	-1	-1
1020109	269	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phi lßu trñc hÕ	#{MIS_TAR_ADD_198}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_13}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	268	-1	-1	1	31	3111	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020110	3	-1	-1
1020110	270	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Tñ thüy lßu niên	#{MIS_TAR_ADD_199}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_14}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	269	-1	-1	1	25	2512	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020111	3	-1	-1
1020111	271	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Bích l§p thiên nh§n	#{MIS_TAR_ADD_200}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_15}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	270	-1	-1	1	19	1912	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020112	3	-1	-1
1020112	272	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Yên toä nh¸ ki«u	#{MIS_TAR_ADD_201}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_16}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	271	-1	-1	1	32	3211	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020113	3	-1	-1
1020113	273	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phong loan nhß tø	#{MIS_TAR_ADD_202}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_17}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	272	-1	-1	1	26	2612	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020114	3	-1	-1
