INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157000	0	0	0	1110	-1	0	0	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157001	0	0	59	177	58	177	1	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157002	0	0	61	177	60	177	2	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157003	0	0	62	220	-1	0	3	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157004	0	0	63	73	-1	0	4	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157005	0	0	37	2	-1	0	5	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157006	0	1	0	1110	-1	0	0	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157007	0	1	59	177	58	177	1	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157008	0	1	61	177	60	177	2	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157009	0	1	62	220	-1	0	3	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157010	0	1	63	73	-1	0	4	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157011	0	1	37	2	-1	0	5	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157012	0	2	0	1110	-1	0	0	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157013	0	2	59	177	58	177	1	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157014	0	2	61	177	60	177	2	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157015	0	2	62	220	-1	0	3	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157016	0	2	63	73	-1	0	4	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157017	0	2	37	2	-1	0	5	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157018	0	3	0	1110	-1	0	0	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157019	0	3	59	177	58	177	1	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157020	0	3	61	177	60	177	2	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157021	0	3	62	220	-1	0	3	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157022	0	3	63	73	-1	0	4	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157023	0	3	37	2	-1	0	5	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157024	0	4	0	1110	-1	0	0	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157025	0	4	59	177	58	177	1	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157026	0	4	61	177	60	177	2	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157027	0	4	62	220	-1	0	3	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
